possession_difference,shot_difference,attendance,outcome
2.0,8,60095,Home Win
-19.400000000000006,4,42212,Home Win
-31.199999999999996,-6,17120,Home Win
28.800000000000004,9,40130,Draw
32.0,8,25198,Draw
-24.400000000000006,6,39201,Home Win
4.200000000000003,8,36871,Away Win
-3.5999999999999943,-3,32183,Home Win
6.400000000000006,11,73465,Home Win
-38.199999999999996,-15,31129,Draw
-17.799999999999997,4,73561,Home Win
-20.799999999999997,7,31388,Draw
55.199999999999996,22,52152,Draw
17.599999999999994,7,62478,Home Win
26.0,21,31507,Home Win
29.199999999999996,2,53490,Home Win
23.599999999999994,11,61514,Away Win
-17.0,-10,10240,Away Win
-1.0,0,24356,Draw
32.599999999999994,4,53306,Draw
6.400000000000006,-6,31684,Draw
-63.400000000000006,-5,29514,Home Win
-32.599999999999994,14,52122,Home Win
-33.800000000000004,-12,32225,Away Win
6.200000000000003,20,17075,Home Win
-26.400000000000006,-2,39376,Away Win
-18.200000000000003,2,60139,Away Win
-27.799999999999997,-9,36955,Draw
-2.5999999999999943,3,42164,Home Win
52.199999999999996,3,40030,Draw
19.599999999999994,12,25034,Home Win
-4.0,22,73570,Home Win
-28.800000000000004,-4,28978,Away Win
14.200000000000003,-1,24442,Home Win
55.400000000000006,13,31567,Away Win
-28.199999999999996,-10,29154,Home Win
8.599999999999994,2,50267,Away Win
-30.800000000000004,-4,62477,Home Win
-32.0,-1,10357,Away Win
61.800000000000004,14,53406,Home Win
15.0,1,61093,Home Win
-24.0,-10,31641,Home Win
7.799999999999997,10,52838,Home Win
19.200000000000003,6,31577,Home Win
14.200000000000003,6,52602,Home Win
37.800000000000004,10,53305,Home Win
9.599999999999994,9,60144,Home Win
10.599999999999994,-8,32173,Draw
-15.799999999999997,-3,10434,Home Win
-25.200000000000003,-8,24498,Away Win
14.200000000000003,7,73592,Home Win
26.799999999999997,18,52234,Home Win
35.199999999999996,2,53275,Home Win
19.799999999999997,8,25148,Home Win
37.800000000000004,9,17080,Home Win
14.400000000000006,12,31584,Home Win
-20.799999999999997,-2,39248,Away Win
13.0,-5,30414,Away Win
-20.200000000000003,1,61586,Draw
-50.400000000000006,-5,28808,Home Win
45.800000000000004,8,39929,Away Win
-45.199999999999996,-13,62473,Away Win
3.799999999999997,6,53482,Home Win
-17.599999999999994,-5,30792,Home Win
3.5999999999999943,13,41046,Home Win
-18.400000000000006,-2,36666,Draw
29.199999999999996,-1,10465,Away Win
14.0,14,52252,Home Win
-1.4000000000000057,2,24356,Home Win
-15.0,2,17098,Draw
13.799999999999997,2,25202,Draw
-16.400000000000006,-1,32053,Home Win
48.400000000000006,17,60175,Draw
-47.199999999999996,0,36657,Away Win
-43.0,5,62475,Draw
-36.400000000000006,-16,29435,Away Win
4.0,8,42055,Home Win
-14.799999999999997,-18,40126,Away Win
-7.0,-6,39241,Away Win
16.400000000000006,1,30309,Away Win
14.799999999999997,15,61369,Away Win
1.2000000000000028,1,30769,Home Win
41.199999999999996,1,53329,Home Win
-4.0,-5,36427,Away Win
18.0,12,53267,Draw
27.599999999999994,14,73509,Home Win
30.599999999999994,2,42076,Home Win
-18.0,2,17107,Away Win
53.199999999999996,7,24491,Away Win
1.5999999999999943,-5,32094,Away Win
-29.599999999999994,-8,61405,Home Win
-24.799999999999997,-4,31614,Home Win
